ymdhm,wl_1018662,wl_1018680,wl_1018683,wl_1019630
2022-06-01 00:00,279.06088,269.04996,265.6824,258.84134
2022-06-01 00:10,279.9445,269.82776,266.45102,259.42966
2022-06-01 00:20,280.32755,270.16498,266.78427,259.68475
2022-06-01 00:30,279.834,269.73053,266.35492,259.3561
2022-06-01 00:40,282.71695,272.2683,268.86288,261.2758
2022-06-01 00:50,280.10867,269.9723,266.59387,259.53903
2022-06-01 01:00,280.75967,270.54535,267.16016,259.97247
2022-06-01 01:10,280.53098,270.34402,266.9612,259.82022
2022-06-01 01:20,279.58423,269.51062,266.13763,259.1898
2022-06-01 01:30,279.6987,269.6114,266.23718,259.266
2022-06-01 01:40,279.3755,269.3269,265.95602,259.05078
2022-06-01 01:50,279.23996,269.20758,265.83813,258.96054
2022-06-01 02:00,279.1481,269.12674,265.75824,258.89938
2022-06-01 02:10,279.11392,269.09662,265.7285,258.87662
2022-06-01 02:20,279.08145,269.06805,265.70026,258.855
2022-06-01 02:30,279.11288,269.0957,265.7276,258.87592
2022-06-01 02:40,291.41556,281.23126,279.75137,276.50015
2022-06-01 02:50,279.0012,268.99738,265.63055,258.80145
2022-06-01 03:00,279.09192,269.07727,265.70947,258.86185
2022-06-01 03:10,279.11136,269.09436,265.72638,258.87482
2022-06-01 03:20,279.1331,269.11346,265.74527,258.88925
2022-06-01 03:30,279.10916,269.0924,265.72443,258.87332
2022-06-01 03:40,279.0667,269.05505,265.68753,258.84506
2022-06-01 03:50,279.0742,269.06165,265.69403,258.85004
2022-06-01 04:00,279.03687,269.0288,265.66156,258.8252
2022-06-01 04:10,279.02426,269.0177,265.6506,258.8168
2022-06-01 04:20,279.0297,269.02246,265.65533,258.82043
2022-06-01 04:30,279.02158,269.01532,265.64825,258.815
2022-06-01 04:40,279.0228,269.01642,265.64932,258.81583
2022-06-01 04:50,279.02322,269.01678,265.6497,258.8161
2022-06-01 05:00,279.0228,269.01642,265.64932,258.81583
2022-06-01 05:10,279.0259,269.0191,265.652,258.81787
2022-06-01 05:20,279.00583,269.00146,265.63455,258.8045
2022-06-01 05:30,279.02298,269.0166,265.6495,258.81595
2022-06-01 05:40,279.01505,269.00958,265.64258,258.81064
2022-06-01 05:50,279.01395,269.0086,265.64163,258.80994
2022-06-01 06:00,279.01312,269.00787,265.6409,258.8094
2022-06-01 06:10,279.01224,269.00708,265.64014,258.80878
2022-06-01 06:20,279.01126,269.00623,265.63928,258.80814
2022-06-01 06:30,279.01074,269.0058,265.63882,258.8078
2022-06-01 06:40,279.00943,269.00464,265.63773,258.80695
2022-06-01 06:50,279.00906,269.00433,265.6374,258.8067
2022-06-01 07:00,279.01096,269.00598,265.639,258.80792
2022-06-01 07:10,279.01053,269.0056,265.63864,258.80765
2022-06-01 07:20,279.01334,269.00806,265.64108,258.8095
2022-06-01 07:30,279.01016,269.0053,265.63837,258.80743
2022-06-01 07:40,279.00827,269.0036,265.63672,258.80615
2022-06-01 07:50,279.00864,269.00397,265.63702,258.8064
2022-06-01 08:00,279.01575,269.0102,265.64322,258.81113
2022-06-01 08:10,291.48172,281.2898,279.8092,276.5452
2022-06-01 08:20,291.41483,281.23096,279.75107,276.5007
2022-06-01 08:30,291.41562,281.23163,279.75174,276.5012
2022-06-01 08:40,291.4161,281.23206,279.75217,276.5016
2022-06-01 08:50,294.19528,287.09113,287.7545,293.2048
2022-06-01 09:00,294.1978,287.1013,287.76968,293.24103
2022-06-01 09:10,294.1981,287.10153,287.76993,293.24124
2022-06-01 09:20,308.63284,299.9753,300.6201,305.60062
2022-06-01 09:30,311.73935,301.71558,301.4473,302.77164
2022-06-01 09:40,325.9091,316.56125,317.33502,319.1113
2022-06-01 09:50,332.5701,319.0516,317.40933,308.52277
2022-06-01 10:00,343.27905,328.22287,326.07596,314.14523
2022-06-01 10:10,344.02887,328.86395,326.68033,314.5331
2022-06-01 10:20,344.27377,329.0734,326.87772,314.65988
2022-06-01 10:30,344.27377,329.0734,326.87775,314.65988
2022-06-01 10:40,356.40884,339.89935,336.7538,319.2598
2022-06-01 10:50,356.4057,339.89667,336.7513,319.25818
2022-06-01 11:00,355.86163,339.4314,336.3127,318.97653
2022-06-01 11:10,336.4772,322.85458,320.68625,308.9414
2022-06-01 11:20,336.3794,322.77014,320.60547,308.8856
2022-06-01 11:30,321.17703,309.22308,307.0918,296.05472
2022-06-01 11:40,321.96848,309.91742,307.77612,296.54294
2022-06-01 11:50,322.54956,310.63614,308.36868,297.21304
2022-06-01 12:00,308.60266,298.15186,296.14886,287.6429
2022-06-01 12:10,311.9506,301.19922,299.10416,290.0129
2022-06-01 12:20,303.52652,293.68317,291.73425,284.2692
2022-06-01 12:30,311.7053,300.88452,298.85373,289.7367
2022-06-01 12:40,293.00018,284.27368,283.25626,280.73343
2022-06-01 12:50,309.67337,298.9506,297.76083,291.83646
2022-06-01 13:00,294.84903,285.90115,284.86465,281.96484
2022-06-01 13:10,309.6632,298.96747,297.6297,291.20428
2022-06-01 13:20,303.95023,294.05365,292.11487,284.61276
2022-06-01 13:30,303.09253,293.3001,291.36154,284.0051
2022-06-01 13:40,300.75717,291.21735,289.45792,283.10434
2022-06-01 13:50,302.87094,293.10266,291.18033,283.9165
2022-06-01 14:00,297.09125,287.9469,286.47324,281.70963
2022-06-01 14:10,286.73578,278.30835,276.65894,273.3009
2022-06-01 14:20,295.68106,286.6451,285.53345,282.2377
2022-06-01 14:30,291.0063,282.51846,281.52185,279.40643
2022-06-01 14:40,291.0383,282.5466,281.5496,279.42752
2022-06-01 14:50,290.99368,282.5059,281.5072,279.3876
2022-06-01 15:00,290.07855,281.60443,280.46725,278.0857
2022-06-01 15:10,284.81705,276.41882,274.48105,270.5803
2022-06-01 15:20,279.3788,271.03122,268.22324,262.6226
2022-06-01 15:30,293.05777,284.13885,282.8349,279.43314
2022-06-01 15:40,278.59122,270.28366,267.40012,261.7062
2022-06-01 15:50,290.65582,280.9038,277.89542,269.7398
2022-06-01 16:00,282.34808,273.59073,270.6683,264.20786
2022-06-01 16:10,280.85886,272.2798,269.37277,263.2162
2022-06-01 16:20,280.75702,272.19016,269.2842,263.14838
2022-06-01 16:30,280.07294,271.58798,268.68912,262.69287
2022-06-01 16:40,279.62677,271.19522,268.30093,262.39575
2022-06-01 16:50,279.69055,271.25134,268.3564,262.43823
2022-06-01 17:00,278.61652,270.30646,267.4235,261.72696
2022-06-01 17:10,279.03812,270.67706,267.78888,262.00378
2022-06-01 17:20,278.83078,270.49454,267.6085,261.86572
2022-06-01 17:30,278.68622,270.36728,267.48276,261.76947
2022-06-01 17:40,278.677,270.35916,267.47473,261.76334
2022-06-01 17:50,278.6052,270.29596,267.41226,261.7155
2022-06-01 18:00,278.66257,270.34647,267.4622,261.75372
2022-06-01 18:10,278.65225,270.3374,267.45322,261.74686
2022-06-01 18:20,278.66534,270.3489,267.46457,261.75555
2022-06-01 18:30,278.66574,270.34924,267.46494,261.75583
2022-06-01 18:40,278.65442,270.3393,267.45508,261.7483
